page,line,text,zh-CN,en,es,es-ES,pt-BR,pt-PT,ja,ru,de,fr,ko,pl,it,nl,tr,th,id,vi,sv,cs
docs/getting-started/trial-comparison.md,34,<td>真實金流串接（PayPal / Stripe / 歐付寶 / 綠界）</td>,<td>真实金流串接（PayPal / Stripe / 欧付宝 / 绿界）</td>,<td>Real Payment Gateway Integration (PayPal / Stripe / O'Pay / ECPay)</td>,<td>Integración con pasarela de pago real (PayPal / Stripe / O'Pay / ECPay)</td>,<td>Integración con pasarela de pago real (PayPal / Stripe / O'Pay / ECPay)</td>,<td>Integração com gateway de pagamento real (PayPal / Stripe / O'Pay / ECPay)</td>,<td>Integração com gateway de pagamento real (PayPal / Stripe / O'Pay / ECPay)</td>,<td>リアル決済連携（PayPal / Stripe / O'Pay / ECPay）</td>,<td>Интеграция с реальными платежными шлюзами (PayPal / Stripe / O'Pay / ECPay)</td>,<td>Echte Zahlungsanbindung (PayPal / Stripe / O'Pay / ECPay)</td>,<td>Intégration de passerelle de paiement réelle (PayPal / Stripe / O'Pay / ECPay)</td>,<td>실제 결제 연동 (PayPal / Stripe / O'Pay / ECPay)</td>,<td>Integracja z prawdziwą bramką płatności (PayPal / Stripe / O'Pay / ECPay)</td>,<td>Integrazione con gateway di pagamento reale (PayPal / Stripe / O'Pay / ECPay)</td>,<td>Echte betalingsgateway-integratie (PayPal / Stripe / O'Pay / ECPay)</td>,<td>Gerçek Ödeme Entegrasyonu (PayPal / Stripe / O'Pay / ECPay)</td>,<td>การเชื่อมต่อระบบชำระเงินจริง (PayPal / Stripe / O'Pay / ECPay)</td>,<td>Integrasi Gerbang Pembayaran Nyata (PayPal / Stripe / O'Pay / ECPay)</td>,<td>Tích hợp cổng thanh toán thực tế (PayPal / Stripe / O'Pay / ECPay)</td>,<td>Integration av riktig betalningsgateway (PayPal / Stripe / O'Pay / ECPay)</td>,<td>Propojení s reálnou platební bránou (PayPal / Stripe / O'Pay / ECPay)</td>
docs/getting-started/trial-comparison.md,39,"    <tr className=""section-row""><td colSpan={3}>客製化與外觀</td></tr>","<tr className=""section-row""><td colSpan={3}>客制化与外观</td></tr>","<tr className=""section-row""><td colSpan={3}>Customization and Appearance</td></tr>","<tr className=""section-row""><td colSpan={3}>Personalización y apariencia</td></tr>","<tr className=""section-row""><td colSpan={3}>Personalización y apariencia</td></tr>","<tr className=""section-row""><td colSpan={3}>Customização e Aparência</td></tr>","<tr className=""section-row""><td colSpan={3}>Personalização e Aspeto</td></tr>","<tr className=""section-row""><td colSpan={3}>カスタマイズと外観</td></tr>","<tr className=""section-row""><td colSpan={3}>Кастомизация и внешний вид</td></tr>","<tr className=""section-row""><td colSpan={3}>Anpassung und Aussehen</td></tr>","<tr className=""section-row""><td colSpan={3}>Personnalisation et apparence</td></tr>","<tr className=""section-row""><td colSpan={3}>맞춤 설정 및 외관</td></tr>","<tr className=""section-row""><td colSpan={3}>Personalizacja i wygląd</td></tr>","<tr className=""section-row""><td colSpan={3}>Personalizzazione e aspetto</td></tr>","<tr className=""section-row""><td colSpan={3}>Aanpassing en uiterlijk</td></tr>","<tr className=""section-row""><td colSpan={3}>Özelleştirme ve Görünüm</td></tr>","<tr className=""section-row""><td colSpan={3}>การปรับแต่งและรูปลักษณ์</td></tr>","<tr className=""section-row""><td colSpan={3}>Kustomisasi dan Tampilan</td></tr>","<tr className=""section-row""><td colSpan={3}>Tùy chỉnh và giao diện</td></tr>","<tr className=""section-row""><td colSpan={3}>Anpassning och utseende</td></tr>","<tr className=""section-row""><td colSpan={3}>Přizpůsobení a vzhled</td></tr>"
docs/getting-started/trial-comparison.md,41,<td>外觀設定（顏色 / 字體 / 大小）</td>,<td>外观设置（颜色 / 字体 / 大size）</td>,<td>Appearance Settings (Color / Font / Size)</td>,<td>Ajustes de apariencia (Color / Fuente / Tamaño)</td>,<td>Ajustes de apariencia (Color / Fuente / Tamaño)</td>,<td>Configurações de Aparência (Cor / Fonte / Tamanho)</td>,<td>Definições de Aspeto (Cor / Tipo de letra / Tamanho)</td>,<td>外観設定（色 / フォント / サイズ）</td>,<td>Настройки внешнего вида (Цвет / Шрифт / Размер)</td>,<td>Aussehen-Einstellungen (Farbe / Schriftart / Größe)</td>,<td>Paramètres d'apparence (Couleur / Police / Taille)</td>,<td>외관 설정 (색상 / 글꼴 / 크기)</td>,<td>Ustawienia wyglądu (Kolor / Czcionka / Rozmiar)</td>,<td>Impostazioni aspetto (Colore / Font / Dimensione)</td>,<td>Uiterlijkinstellingen (Kleur / Lettertype / Grootte)</td>,<td>Görünüm Ayarları (Renk / Yazı Tipi / Boyut)</td>,<td>การตั้งค่ารูปลักษณ์ (สี / ฟอนต์ / ขนาด)</td>,<td>Pengaturan Tampilan (Warna / Font / Ukuran)</td>,<td>Cài đặt giao diện (Màu sắc / Phông chữ / Kích thước)</td>,<td>Utseendeinställningar (Färg / Typsnitt / Storlek)</td>,<td>Nastavení vzhledu (Barva / Písmo / Velikost)</td>
docs/getting-started/trial-comparison.md,46,<td>自訂 CSS</td>,<td>自定义 CSS</td>,<td>Custom CSS</td>,<td>CSS personalizado</td>,<td>CSS personalizado</td>,<td>CSS Personalizado</td>,<td>CSS Personalizado</td>,<td>カスタム CSS</td>,<td>Пользовательский CSS</td>,<td>Benutzerdefiniertes CSS</td>,<td>CSS personnalisé</td>,<td>사용자 지정 CSS</td>,<td>Własny CSS</td>,<td>CSS personalizzato</td>,<td>Aangepaste CSS</td>,<td>Özel CSS</td>,<td>CSS แบบกำหนดเอง</td>,<td>CSS Kustom</td>,<td>CSS tùy chỉnh</td>,<td>Anpassad CSS</td>,<td>Vlastní CSS</td>
docs/getting-started/trial-comparison.md,51,<td>Steam 工作坊（訂閱 / 上傳主題）</td>,<td>Steam 工作坊（订阅 / 上传主题）</td>,<td>Steam Workshop (Subscribe / Upload Themes)</td>,<td>Steam Workshop (Suscribirse / Subir temas)</td>,<td>Steam Workshop (Suscribirse / Subir temas)</td>,<td>Steam Workshop (Inscrever-se / Enviar temas)</td>,<td>Steam Workshop (Subscrever / Carregar temas)</td>,<td>Steam ワークショップ（テーマのサブスクライブ / アップロード）</td>,<td>Мастерская Steam (Подписка / Загрузка тем)</td>,<td>Steam Workshop (Themen abonnieren / hochladen)</td>,<td>Steam Workshop (S'abonner / Importer des thèmes)</td>,<td>Steam 창작마당 (테마 구독 / 업로드)</td>,<td>Warsztat Steam (Subskrybuj / Prześlij motywy)</td>,<td>Steam Workshop (Iscriviti / Carica temi)</td>,<td>Steam Workshop (Abonneren / Thema's uploaden)</td>,<td>Steam Atölyesi (Temalara Abone Ol / Yükle)</td>,<td>Steam Workshop (สมัครรับข้อมูล / อัปโหลดธีม)</td>,<td>Steam Workshop (Langganan / Unggah Tema)</td>,<td>Steam Workshop (Đăng ký / Tải lên chủ đề)</td>,<td>Steam Workshop (Prenumerera / Ladda upp teman)</td>,<td>Steam Workshop (Odebírat / Nahrát motivy)</td>
docs/getting-started/trial-comparison.md,56,<td>Overlay 浮水印</td>,<td>Overlay 水印</td>,<td>Overlay Watermark</td>,<td>Marca de agua de Overlay</td>,<td>Marca de agua de Overlay</td>,<td>Marca d'água de Overlay</td>,<td>Marca de água do Overlay</td>,<td>Overlay ウォーターマーク</td>,<td>Водяной знак Overlay</td>,<td>Overlay-Wasserzeichen</td>,<td>Filigrane d'Overlay</td>,<td>Overlay 워터마크</td>,<td>Znak wodny Overlay</td>,<td>Filigrana Overlay</td>,<td>Overlay-watermerk</td>,<td>Overlay Filigranı</td>,<td>ลายน้ำ Overlay</td>,<td>Watermark Overlay</td>,<td>Hình mờ Overlay</td>,<td>Overlay-vattenstämpel</td>,<td>Vodoznak Overlay</td>
docs/getting-started/trial-comparison.md,57,"      <td className=""trial-cell"">顯示</td>","<td className=""trial-cell"">显示</td>","<td className=""trial-cell"">Display</td>","<td className=""trial-cell"">Mostrar</td>","<td className=""trial-cell"">Mostrar</td>","<td className=""trial-cell"">Exibir</td>","<td className=""trial-cell"">Exibir</td>","<td className=""trial-cell"">表示</td>","<td className=""trial-cell"">Отображается</td>","<td className=""trial-cell"">Anzeigen</td>","<td className=""trial-cell"">Afficher</td>","<td className=""trial-cell"">표시</td>","<td className=""trial-cell"">Wyświetl</td>","<td className=""trial-cell"">Mostra</td>","<td className=""trial-cell"">Weergeven</td>","<td className=""trial-cell"">Göster</td>","<td className=""trial-cell"">แสดง</td>","<td className=""trial-cell"">Tampilkan</td>","<td className=""trial-cell"">Hiển thị</td>","<td className=""trial-cell"">Visa</td>","<td className=""trial-cell"">Zobrazit</td>"
docs/getting-started/trial-comparison.md,58,"      <td className=""pro-cell""><span className=""dot ok""></span> 無浮水印</td>","<td className=""pro-cell""><span className=""dot ok""></span> 无水印</td>","<td className=""pro-cell""><span className=""dot ok""></span> No Watermark</td>","<td className=""pro-cell""><span className=""dot ok""></span> Sin marca de agua</td>","<td className=""pro-cell""><span className=""dot ok""></span> Sin marca de agua</td>","<td className=""pro-cell""><span className=""dot ok""></span> Sem marca d'água</td>","<td className=""pro-cell""><span className=""dot ok""></span> Sem marca de água</td>","<td className=""pro-cell""><span className=""dot ok""></span> ウォーターマークなし</td>","<td className=""pro-cell""><span className=""dot ok""></span> Без водяного знака</td>","<td className=""pro-cell""><span className=""dot ok""></span> Kein Wasserzeichen</td>","<td className=""pro-cell""><span className=""dot ok""></span> Sans filigrane</td>","<td className=""pro-cell""><span className=""dot ok""></span> 워터마크 없음</td>","<td className=""pro-cell""><span className=""dot ok""></span> Bez znaku wodnego</td>","<td className=""pro-cell""><span className=""dot ok""></span> Senza filigrana</td>","<td className=""pro-cell""><span className=""dot ok""></span> Geen watermerk</td>","<td className=""pro-cell""><span className=""dot ok""></span> Filigransız</td>","<td className=""pro-cell""><span className=""dot ok""></span> ไม่มีลายน้ำ</td>","<td className=""pro-cell""><span className=""dot ok""></span> Tanpa Watermark</td>","<td className=""pro-cell""><span className=""dot ok""></span> Không có hình mờ</td>","<td className=""pro-cell""><span className=""dot ok""></span> Utan vattenstämpel</td>","<td className=""pro-cell""><span className=""dot ok""></span> Bez vodoznaku</td>"
docs/getting-started/trial-comparison.md,61,"    <tr className=""section-row""><td colSpan={3}>互動工具</td></tr>","<tr className=""section-row""><td colSpan={3}>互动工具</td></tr>","<tr className=""section-row""><td colSpan={3}>Interactive Tools</td></tr>","<tr className=""section-row""><td colSpan={3}>Herramientas interactivas</td></tr>","<tr className=""section-row""><td colSpan={3}>Herramientas interactivas</td></tr>","<tr className=""section-row""><td colSpan={3}>Ferramentas Interativas</td></tr>","<tr className=""section-row""><td colSpan={3}>Ferramentas Interativas</td></tr>","<tr className=""section-row""><td colSpan={3}>インタラクティブツール</td></tr>","<tr className=""section-row""><td colSpan={3}>Интерактивные инструменты</td></tr>","<tr className=""section-row""><td colSpan={3}>Interaktive Tools</td></tr>","<tr className=""section-row""><td colSpan={3}>Outils interactifs</td></tr>","<tr className=""section-row""><td colSpan={3}>인랙티브 도구</td></tr>","<tr className=""section-row""><td colSpan={3}>Narzędzia interaktywne</td></tr>","<tr className=""section-row""><td colSpan={3}>Strumenti interattivi</td></tr>","<tr className=""section-row""><td colSpan={3}>Interactieve tools</td></tr>","<tr className=""section-row""><td colSpan={3}>Etkileşimli Araçlar</td></tr>","<tr className=""section-row""><td colSpan={3}>เครื่องมือโต้ตอบ</td></tr>","<tr className=""section-row""><td colSpan={3}>Alat Interaktif</td></tr>","<tr className=""section-row""><td colSpan={3}>Công cụ tương tác</td></tr>","<tr className=""section-row""><td colSpan={3}>Interaktiva verktyg</td></tr>","<tr className=""section-row""><td colSpan={3}>Interaktivní nástroje</td></tr>"
docs/getting-started/trial-comparison.md,63,<td>聊天室自動翻譯</td>,<td>聊天室自动翻译</td>,<td>Chat Auto-Translation</td>,<td>Traducción automática del chat</td>,<td>Traducción automática del chat</td>,<td>Tradução Automática do Chat</td>,<td>Tradução Automática do Chat</td>,<td>チャットの自動翻訳</td>,<td>Автоперевод чата</td>,<td>Automatische Chat-Übersetzung</td>,<td>Traduction automatique du chat</td>,<td>채팅창 자동 번역</td>,<td>Automatyczne tłumaczenie czatu</td>,<td>Traduzione automatica della chat</td>,<td>Automatische chatvertaling</td>,<td>Sohbet Otomatik Çeviri</td>,<td>แปลแชทอัตโนมัติ</td>,<td>Terjemahan Otomatis Obrolan</td>,<td>Tự động dịch trò chuyện</td>,<td>Automatisk chattöversättning</td>,<td>Automatický překlad chatu</td>
docs/getting-started/trial-comparison.md,64,"      <td className=""trial-cell"">可使用（含浮水印）</td>","<td className=""trial-cell"">可使用（含水印）</td>","<td className=""trial-cell"">Available (with Watermark)</td>","<td className=""trial-cell"">Disponible (con marca de agua)</td>","<td className=""trial-cell"">Disponible (con marca de agua)</td>","<td className=""trial-cell"">Disponível (com marca d'água)</td>","<td className=""trial-cell"">Disponível (com marca de água)</td>","<td className=""trial-cell"">利用可能（ウォーターマークあり）</td>","<td className=""trial-cell"">Доступно (с водяным знаком)</td>","<td className=""trial-cell"">Verfügbar (mit Wasserzeichen)</td>","<td className=""trial-cell"">Disponible (avec filigrane)</td>","<td className=""trial-cell"">사용 가능 (워터마크 포함)</td>","<td className=""trial-cell"">Dostępne (ze znakiem wodnym)</td>","<td className=""trial-cell"">Disponibile (con filigrana)</td>","<td className=""trial-cell"">Beschikbaar (met watermerk)</td>","<td className=""trial-cell"">Kullanılabilir (Filigranlı)</td>","<td className=""trial-cell"">ใช้งานได้ (มีลายน้ำ)</td>","<td className=""trial-cell"">Tersedia (dengan Watermark)</td>","<td className=""trial-cell"">Có thể sử dụng (kèm hình mờ)</td>","<td className=""trial-cell"">Tillgänglig (med vattenstämpel)</td>","<td className=""trial-cell"">Dostupné (s vodoznakem)</td>"
docs/getting-started/trial-comparison.md,65,"      <td className=""pro-cell""><span className=""dot ok""></span> 無浮水印</td>","<td className=""pro-cell""><span className=""dot ok""></span> 无水印</td>","<td className=""pro-cell""><span className=""dot ok""></span> No Watermark</td>","<td className=""pro-cell""><span className=""dot ok""></span> Sin marca de agua</td>","<td className=""pro-cell""><span className=""dot ok""></span> Sin marca de agua</td>","<td className=""pro-cell""><span className=""dot ok""></span> Sem marca d'água</td>","<td className=""pro-cell""><span className=""dot ok""></span> Sem marca de água</td>","<td className=""pro-cell""><span className=""dot ok""></span> ウォーターマークなし</td>","<td className=""pro-cell""><span className=""dot ok""></span> Без водяного знака</td>","<td className=""pro-cell""><span className=""dot ok""></span> Kein Wasserzeichen</td>","<td className=""pro-cell""><span className=""dot ok""></span> Sans filigrane</td>","<td className=""pro-cell""><span className=""dot ok""></span> 워터마크 없음</td>","<td className=""pro-cell""><span className=""dot ok""></span> Bez znaku wodnego</td>","<td className=""pro-cell""><span className=""dot ok""></span> Senza filigrana</td>","<td className=""pro-cell""><span className=""dot ok""></span> Geen watermerk</td>","<td className=""pro-cell""><span className=""dot ok""></span> Filigransız</td>","<td className=""pro-cell""><span className=""dot ok""></span> ไม่มีลายน้ำ</td>","<td className=""pro-cell""><span className=""dot ok""></span> Tanpa Watermark</td>","<td className=""pro-cell""><span className=""dot ok""></span> Không có hình mờ</td>","<td className=""pro-cell""><span className=""dot ok""></span> Utan vattenstämpel</td>","<td className=""pro-cell""><span className=""dot ok""></span> Bez vodoznaku</td>"
docs/getting-started/trial-comparison.md,68,<td>語音翻譯字幕</td>,<td>语音翻译字幕</td>,<td>Voice Translation Subtitles</td>,<td>Subtítulos de Traducción de voz</td>,<td>Subtítulos de Traducción de voz</td>,<td>Legendas de Tradução de voz</td>,<td>Legendas de Tradução de voz</td>,<td>音声翻訳字幕</td>,<td>Субтитры голосового перевода</td>,<td>Sprachübersetzung-Untertitel</td>,<td>Sous-titres de Traduction vocale</td>,<td>음성 번역 자막</td>,<td>Napisy tłumaczenia głosu</td>,<td>Sottotitoli di Traduzione vocale</td>,<td>Spraakvertaling-ondertitels</td>,<td>Sesli çeviri altyazıları</td>,<td>คำบรรยายการแปลเสียง</td>,<td>Subtitle Terjemahan suara</td>,<td>Phụ đề dịch giọng nói</td>,<td>Rösttolkning undertexter</td>,<td>Titulky překladu řeči</td>
docs/getting-started/trial-comparison.md,69,"      <td className=""trial-cell"">僅可翻譯成英文</td>","<td className=""trial-cell"">仅可翻译成英文</td>","<td className=""trial-cell"">Can only translate to English</td>","<td className=""trial-cell"">Solo se puede traducir al inglés</td>","<td className=""trial-cell"">Solo se puede traducir al inglés</td>","<td className=""trial-cell"">Só pode ser traduzido para inglês</td>","<td className=""trial-cell"">Apenas traduzível para inglês</td>","<td className=""trial-cell"">英語への翻訳のみ可能</td>","<td className=""trial-cell"">Перевод возможен только на английский</td>","<td className=""trial-cell"">Kann nur ins Englische übersetzt werden</td>","<td className=""trial-cell"">Ne peut traduire qu'en anglais</td>","<td className=""trial-cell"">영어 번역만 가능</td>","<td className=""trial-cell"">Można tłumaczyć tylko na język angielski</td>","<td className=""trial-cell"">Può essere tradotto solo in inglese</td>","<td className=""trial-cell"">Kan alleen naar het Engels vertalen</td>","<td className=""trial-cell"">Yalnızca İngilizceye çevrilebilir</td>","<td className=""trial-cell"">แปลเป็นภาษาอังกฤษได้เท่านั้น</td>","<td className=""trial-cell"">Hanya dapat diterjemahkan ke bahasa Inggris</td>","<td className=""trial-cell"">Chỉ có thể dịch sang tiếng Anh</td>","<td className=""trial-cell"">Kan endast översättas till engelska</td>","<td className=""trial-cell"">Lze překládat pouze do angličtiny</td>"
docs/getting-started/trial-comparison.md,70,"      <td className=""pro-cell""><span className=""dot ok""></span> 20+ 種語言</td>","<td className=""pro-cell""><span className=""dot ok""></span> 20+ 种语言</td>","<td className=""pro-cell""><span className=""dot ok""></span> 20+ Languages</td>","<td className=""pro-cell""><span className=""dot ok""></span> Más de 20 idiomas</td>","<td className=""pro-cell""><span className=""dot ok""></span> Más de 20 idiomas</td>","<td className=""pro-cell""><span className=""dot ok""></span> Mais de 20 idiomas</td>","<td className=""pro-cell""><span className=""dot ok""></span> Mais de 20 idiomas</td>","<td className=""pro-cell""><span className=""dot ok""></span> 20以上の言語</td>","<td className=""pro-cell""><span className=""dot ok""></span> Более 20 языков</td>","<td className=""pro-cell""><span className=""dot ok""></span> 20+ Sprachen</td>","<td className=""pro-cell""><span className=""dot ok""></span> Plus de 20 langues</td>","<td className=""pro-cell""><span className=""dot ok""></span> 20개 이상의 언어</td>","<td className=""pro-cell""><span className=""dot ok""></span> Ponad 20 języków</td>","<td className=""pro-cell""><span className=""dot ok""></span> Oltre 20 lingue</td>","<td className=""pro-cell""><span className=""dot ok""></span> Meer dan 20 talen</td>","<td className=""pro-cell""><span className=""dot ok""></span> 20+'den fazla dil</td>","<td className=""pro-cell""><span className=""dot ok""></span> รองรับ 20+ ภาษา</td>","<td className=""pro-cell""><span className=""dot ok""></span> 20+ Bahasa</td>","<td className=""pro-cell""><span className=""dot ok""></span> Hơn 20 ngôn ngữ</td>","<td className=""pro-cell""><span className=""dot ok""></span> Mer än 20 språk</td>","<td className=""pro-cell""><span className=""dot ok""></span> Více než 20 jazyků</td>"
docs/getting-started/trial-comparison.md,73,<td>即時投票</td>,<td>投票</td>,<td>Live Polls</td>,<td>Encuestas en vivo</td>,<td>Encuestas en directo</td>,<td>Enquetes ao vivo</td>,<td>Sondagens em direto</td>,<td>リアルタイム投票</td>,<td>Опросы</td>,<td>Live-Umfragen</td>,<td>Sondages en direct</td>,<td>실시간 투표</td>,<td>Ankiety</td>,<td>Sondaggi live</td>,<td>Live peilingen</td>,<td>Canlı anketler</td>,<td>โพลสด</td>,<td>Polling Langsung</td>,<td>Bình chọn trực tiếp</td>,<td>Liveomröstningar</td>,<td>Živá hlasování</td>
docs/getting-started/trial-comparison.md,78,<td>抽獎</td>,<td>抽奖</td>,<td>Giveaways</td>,<td>Sorteos</td>,<td>Sorteos</td>,<td>Sorteios</td>,<td>Sorteios</td>,<td>抽選</td>,<td>Розыгрыши</td>,<td>Verlosungen</td>,<td>Tirages au sort</td>,<td>추첨</td>,<td>Losowania</td>,<td>Estrazioni</td>,<td>Weggeefacties</td>,<td>Çekilişler</td>,<td>การจับรางวัล</td>,<td>Giveaway</td>,<td>Quay thưởng</td>,<td>Utlottningar</td>,<td>Losování</td>
docs/getting-started/trial-comparison.md,83,<td>時鐘</td>,<td>时钟</td>,<td>Clock</td>,<td>Reloj</td>,<td>Reloj</td>,<td>Relógio</td>,<td>Relógio</td>,<td>時計</td>,<td>Часы</td>,<td>Uhr</td>,<td>Horloge</td>,<td>시계</td>,<td>Zegar</td>,<td>Orologio</td>,<td>Klok</td>,<td>Saat</td>,<td>นาฬิกา</td>,<td>Jam</td>,<td>Đồng hồ</td>,<td>Klocka</td>,<td>Hodiny</td>
docs/getting-started/trial-comparison.md,88,<td>表情符號牆</td>,<td>表情墙</td>,<td>Emote Wall</td>,<td>Muro de emotes</td>,<td>Muro de emotes</td>,<td>Parede de emotes</td>,<td>Parede de emotes</td>,<td>エモートウォール</td>,<td>Стена эмоций</td>,<td>Emote-Wall</td>,<td>Mur d'emotes</td>,<td>이모트 월</td>,<td>Ściana emotek</td>,<td>Parete delle emote</td>,<td>Emote-muur</td>,<td>Emoji duvarı</td>,<td>กำแพงอิโมจิ</td>,<td>Dinding Emote</td>,<td>Tường biểu cảm</td>,<td>Emote-vägg</td>,<td>Stěna emotikonů</td>
docs/getting-started/trial-comparison.md,93,<td>Twitch 目標條</td>,<td>Twitch 目标条</td>,<td>Twitch Goal Bar</td>,<td>Barra de objetivos de Twitch</td>,<td>Barra de objetivos de Twitch</td>,<td>Barra de metas do Twitch</td>,<td>Barra de objetivos do Twitch</td>,<td>Twitch 目標バー</td>,<td>Полоса целей Twitch</td>,<td>Twitch-Zielleiste</td>,<td>Barre d'objectif Twitch</td>,<td>Twitch 목표 바</td>,<td>Pasek celu Twitch</td>,<td>Barra obiettivo Twitch</td>,<td>Twitch-doelbalk</td>,<td>Twitch hedef çubuğu</td>,<td>แถบเป้าหมาย Twitch</td>,<td>Bilah Target Twitch</td>,<td>Thanh mục tiêu Twitch</td>,<td>Twitch-målfält</td>,<td>Ukazatel cíle Twitch</td>
docs/getting-started/trial-comparison.md,98,<td>實況精華標記</td>,<td>实况精彩标记</td>,<td>Stream Highlight Marker</td>,<td>Marcador de momentos destacados de stream</td>,<td>Marcador de momentos destacados de stream</td>,<td>Marcador de destaques da stream</td>,<td>Marcador de destaques da stream</td>,<td>配信ハイライトマーカー</td>,<td>Метка лучших моментов трансляции</td>,<td>Stream-Highlight-Markierung</td>,<td>Marqueur de temps fort du stream</td>,<td>스트림 하이라이트 마커</td>,<td>Znacznik najlepszych momentów streamu</td>,<td>Marcatore momenti salienti stream</td>,<td>Stream-hoogtepuntmarkering</td>,<td>Yayın öne çıkan an işaretleyicisi</td>,<td>ตัวทำเครื่องหมายไฮไลต์สตรีม</td>,<td>Penanda Sorotan Stream</td>,<td>Đánh dấu khoảnh khắc nổi bật của stream</td>,<td>Ström-höjdpunktsmarkör</td>,<td>Značka nejlepších okamžiků streamu</td>
docs/getting-started/trial-comparison.md,103,<td>轉盤</td>,<td>转盘</td>,<td>Spin Wheel</td>,<td>Ruleta</td>,<td>Ruleta</td>,<td>Roleta</td>,<td>Roleta</td>,<td>ルーレット</td>,<td>Колесо удачи</td>,<td>Glücksrad</td>,<td>Roue</td>,<td>룰렛</td>,<td>Koło fortuny</td>,<td>Ruota</td>,<td>Draairad</td>,<td>Çark</td>,<td>วงล้อสุ่ม</td>,<td>Spin Wheel</td>,<td>Vòng quay</td>,<td>Snurrhjul</td>,<td>Kolo štěstí</td>
docs/getting-started/trial-comparison.md,104,"      <td className=""trial-cell"">僅可建立 1 個</td>","<td className=""trial-cell"">仅可建立 1 个</td>","<td className=""trial-cell"">Can only create 1</td>","<td className=""trial-cell"">Solo se puede crear 1</td>","<td className=""trial-cell"">Solo se puede crear 1</td>","<td className=""trial-cell"">Só é possível criar 1</td>","<td className=""trial-cell"">Apenas é possível criar 1</td>","<td className=""trial-cell"">1つのみ作成可能</td>","<td className=""trial-cell"">Можно создать только 1</td>","<td className=""trial-cell"">Kann nur 1 erstellt werden</td>","<td className=""trial-cell"">Ne peut créer que 1</td>","<td className=""trial-cell"">1개만 생성 가능</td>","<td className=""trial-cell"">Można utworzyć tylko 1</td>","<td className=""trial-cell"">È possibile crearne solo 1</td>","<td className=""trial-cell"">Kan er slechts 1 maken</td>","<td className=""trial-cell"">Yalnızca 1 adet oluşturulabilir</td>","<td className=""trial-cell"">สร้างได้เพียง 1 อันเท่านั้น</td>","<td className=""trial-cell"">Hanya dapat membuat 1</td>","<td className=""trial-cell"">Chỉ có thể tạo 1</td>","<td className=""trial-cell"">Kan endast skapa 1</td>","<td className=""trial-cell"">Lze vytvořit pouze 1</td>"
docs/getting-started/trial-comparison.md,105,"      <td className=""pro-cell""><span className=""dot ok""></span> 無數量限制</td>","<td className=""pro-cell""><span className=""dot ok""></span> 无数量限制</td>","<td className=""pro-cell""><span className=""dot ok""></span> No quantity limit</td>","<td className=""pro-cell""><span className=""dot ok""></span> Sin límite de cantidad</td>","<td className=""pro-cell""><span className=""dot ok""></span> Sin límite de cantidad</td>","<td className=""pro-cell""><span className=""dot ok""></span> Sem limite de quantidade</td>","<td className=""pro-cell""><span className=""dot ok""></span> Sem limite de quantidade</td>","<td className=""pro-cell""><span className=""dot ok""></span> 数量制限なし</td>","<td className=""pro-cell""><span className=""dot ok""></span> Без ограничений по количеству</td>","<td className=""pro-cell""><span className=""dot ok""></span> Keine Mengenbeschränkung</td>","<td className=""pro-cell""><span className=""dot ok""></span> Aucune limite de quantité</td>","<td className=""pro-cell""><span className=""dot ok""></span> 수량 제한 없음</td>","<td className=""pro-cell""><span className=""dot ok""></span> Bez limitu ilości</td>","<td className=""pro-cell""><span className=""dot ok""></span> Nessun limite di quantità</td>","<td className=""pro-cell""><span className=""dot ok""></span> Geen kwantiteitslimiet</td>","<td className=""pro-cell""><span className=""dot ok""></span> Miktar sınırı yok</td>","<td className=""pro-cell""><span className=""dot ok""></span> ไม่จำกัดจำนวน</td>","<td className=""pro-cell""><span className=""dot ok""></span> Tanpa batasan jumlah</td>","<td className=""pro-cell""><span className=""dot ok""></span> Không giới hạn số lượng</td>","<td className=""pro-cell""><span className=""dot ok""></span> Ingen mängdbegränsning</td>","<td className=""pro-cell""><span className=""dot ok""></span> Bez kapacitního omezení</td>"
docs/getting-started/trial-comparison.md,108,<td>計時器</td>,<td>计时器</td>,<td>Timer</td>,<td>Temporizador</td>,<td>Temporizador</td>,<td>Temporizador</td>,<td>Temporizador</td>,<td>タイマー</td>,<td>Таймер</td>,<td>Timer</td>,<td>Minuteur</td>,<td>타이머</td>,<td>Timer</td>,<td>Timer</td>,<td>Timer</td>,<td>Zamanlayıcı</td>,<td>ตัวจับเวลา</td>,<td>Timer</td>,<td>Bộ đếm thời gian</td>,<td>Timer</td>,<td>Časovač</td>
